Access ID,User ID,Spark ID,Timestamp,Viewed Slideshow,Downloaded Slideshow,Watched Tutorial Video,Accessed Extension Activities,Used AI Playbook Maker,Downloaded AI Playbook,Booked Support Session,Session Length (min),Resources Accessed (Count),Resources Accessed (%)
757,1,8,2025-04-02 23:08:40,False,False,False,True,False,False,False,4,5,71.43
645,1,12,2025-04-02 23:10:25,False,False,False,False,False,False,True,43,5,71.43
645,1,12,2025-04-03 00:13:25,False,False,False,True,False,False,False,43,2,28.57
757,1,8,2025-04-03 00:21:40,False,False,True,False,False,False,False,4,5,71.43
645,1,12,2025-04-03 01:25:25,False,True,False,False,False,False,False,43,4,57.14
645,1,12,2025-04-03 02:09:25,False,False,False,False,False,True,False,43,1,14.29
757,1,8,2025-04-03 02:35:40,False,False,False,True,False,False,False,4,2,28.57
757,1,8,2025-04-03 05:23:40,True,False,False,False,False,False,False,4,5,71.43
562,1,1,2025-04-03 23:13:24,False,False,False,False,False,False,True,3,3,42.86
562,1,1,2025-04-04 01:39:24,True,False,False,False,False,False,False,3,3,42.86
609,1,17,2025-04-10 23:11:37,False,False,False,False,False,False,True,41,3,42.86
609,1,17,2025-04-11 00:20:37,False,False,False,False,False,True,False,41,3,42.86
490,2,14,2025-04-03 23:11:22,False,False,False,False,True,False,False,10,4,57.14
490,2,14,2025-04-04 00:30:22,False,False,False,False,True,False,False,10,4,57.14
490,2,14,2025-04-04 00:36:22,False,False,False,False,False,False,True,10,6,85.71
718,3,12,2025-04-20 23:09:50,False,False,False,False,True,False,False,4,4,57.14
718,3,12,2025-04-21 01:13:50,False,True,False,False,False,False,False,4,5,71.43
668,4,2,2025-04-19 23:10:08,False,False,False,True,False,False,False,59,3,42.86
668,4,2,2025-04-19 23:38:08,False,False,False,False,False,False,True,59,4,57.14
668,4,2,2025-04-20 02:33:08,False,False,False,True,False,False,False,59,3,42.86
668,4,2,2025-04-20 03:40:08,False,False,False,True,False,False,False,59,4,57.14
743,5,4,2025-04-14 23:13:30,False,False,False,True,False,False,False,15,2,28.57
743,5,4,2025-04-15 02:12:30,False,False,False,False,False,True,False,15,5,71.43
743,5,4,2025-04-15 03:34:30,True,False,False,False,False,False,False,15,4,57.14
743,5,4,2025-04-15 05:26:30,False,False,False,True,False,False,False,15,1,14.29
556,6,17,2025-04-04 23:10:22,False,False,False,False,True,False,False,4,3,42.86
556,6,17,2025-04-05 01:22:22,False,False,True,False,False,False,False,4,3,42.86
307,6,18,2025-04-14 23:09:03,False,False,True,False,False,False,False,54,3,42.86
307,6,18,2025-04-15 01:39:03,False,False,False,False,False,True,False,54,4,57.14
307,6,18,2025-04-15 04:12:03,False,False,True,False,False,False,False,54,3,42.86
307,6,18,2025-04-15 05:00:03,False,True,False,False,False,False,False,54,4,57.14
708,6,6,2025-04-16 23:11:10,False,False,False,False,False,False,True,8,2,28.57
708,6,6,2025-04-17 01:51:10,False,False,False,False,False,True,False,8,1,14.29
561,6,17,2025-04-20 23:08:52,True,False,False,False,False,False,False,3,5,71.43
561,6,17,2025-04-20 23:45:52,False,False,False,False,False,True,False,3,1,14.29
561,6,17,2025-04-21 01:18:52,False,False,False,False,False,True,False,3,3,42.86
592,7,9,2025-04-10 23:11:21,False,False,False,False,False,False,True,36,3,42.86
592,7,9,2025-04-11 01:29:21,False,False,True,False,False,False,False,36,3,42.86
592,7,9,2025-04-11 03:44:21,False,False,False,False,True,False,False,36,3,42.86
820,7,4,2025-04-12 23:08:30,False,False,True,False,False,False,False,5,2,28.57
14,7,9,2025-04-12 23:12:41,False,True,False,False,False,False,False,59,4,57.14
820,7,4,2025-04-12 23:26:30,False,False,False,True,False,False,False,5,3,42.86
14,7,9,2025-04-13 00:13:41,False,True,False,False,False,False,False,59,5,71.43
820,7,4,2025-04-13 02:23:30,False,True,False,False,False,False,False,5,4,57.14
14,7,9,2025-04-13 02:30:41,False,False,False,False,True,False,False,59,5,71.43
14,7,9,2025-04-13 04:13:41,False,True,False,False,False,False,False,59,3,42.86
833,9,7,2025-04-07 23:07:40,False,True,False,False,False,False,False,47,4,57.14
833,9,7,2025-04-08 00:34:40,False,False,False,True,False,False,False,47,3,42.86
833,9,7,2025-04-08 00:42:40,True,False,False,False,False,False,False,47,4,57.14
833,9,7,2025-04-08 02:05:40,False,False,False,False,True,False,False,47,4,57.14
622,10,14,2025-04-18 23:11:59,True,False,False,False,False,False,False,16,3,42.86
622,10,14,2025-04-19 01:36:59,False,False,False,False,False,True,False,16,2,28.57
593,11,2,2025-04-16 23:11:24,False,False,False,True,False,False,False,11,3,42.86
593,11,2,2025-04-16 23:53:24,False,False,False,True,False,False,False,11,4,57.14
653,12,15,2025-04-07 23:10:19,True,False,False,False,False,False,False,54,7,100.0
653,12,15,2025-04-08 00:10:19,True,False,False,False,False,False,False,54,3,42.86
653,12,15,2025-04-08 00:42:19,False,False,True,False,False,False,False,54,2,28.57
653,12,15,2025-04-08 01:45:19,False,False,False,True,False,False,False,54,2,28.57
999,13,9,2025-04-14 23:12:11,True,False,False,False,False,False,False,13,4,57.14
999,13,9,2025-04-14 23:33:11,False,False,False,False,True,False,False,13,4,57.14
999,13,9,2025-04-15 00:33:11,False,False,True,False,False,False,False,13,3,42.86
822,13,11,2025-04-15 23:11:44,False,False,False,True,False,False,False,2,3,42.86
822,13,11,2025-04-16 00:08:44,False,True,False,False,False,False,False,2,3,42.86
822,13,11,2025-04-16 02:04:44,False,True,False,False,False,False,False,2,3,42.86
572,14,13,2025-04-08 23:09:07,False,False,True,False,False,False,False,20,6,85.71
572,14,13,2025-04-09 00:56:07,False,False,True,False,False,False,False,20,4,57.14
568,14,16,2025-04-14 23:10:44,False,False,False,False,False,True,False,53,7,100.0
568,14,16,2025-04-14 23:32:44,False,False,False,False,True,False,False,53,4,57.14
568,14,16,2025-04-15 00:25:44,False,True,False,False,False,False,False,53,5,71.43
526,14,14,2025-04-17 23:11:27,False,False,False,False,False,False,True,41,3,42.86
526,14,14,2025-04-18 01:50:27,False,False,False,True,False,False,False,41,5,71.43
799,15,6,2025-04-05 23:08:18,False,False,False,True,False,False,False,26,6,85.71
799,15,6,2025-04-06 00:28:18,False,False,True,False,False,False,False,26,4,57.14
799,15,6,2025-04-06 01:39:18,False,False,True,False,False,False,False,26,3,42.86
799,15,6,2025-04-06 04:02:18,False,False,False,False,False,False,True,26,5,71.43
876,17,16,2025-04-10 23:10:20,False,False,False,False,True,False,False,25,2,28.57
876,17,16,2025-04-11 00:24:20,False,True,False,False,False,False,False,25,4,57.14
876,17,16,2025-04-11 02:40:20,False,True,False,False,False,False,False,25,3,42.86
546,18,8,2025-04-15 23:10:58,False,False,False,True,False,False,False,50,3,42.86
546,18,8,2025-04-16 00:48:58,True,False,False,False,False,False,False,50,3,42.86
654,18,13,2025-04-20 23:08:06,True,False,False,False,False,False,False,49,3,42.86
654,18,13,2025-04-21 01:14:06,False,False,False,True,False,False,False,49,3,42.86
654,18,13,2025-04-21 02:12:06,False,False,False,False,False,True,False,49,3,42.86
285,21,5,2025-04-19 23:12:01,False,False,False,False,True,False,False,22,3,42.86
285,21,5,2025-04-20 00:56:01,False,False,False,False,True,False,False,22,3,42.86
715,24,11,2025-04-14 23:08:26,False,False,False,False,False,False,True,30,3,42.86
715,24,11,2025-04-14 23:37:26,False,False,False,False,False,True,False,30,4,57.14
715,24,11,2025-04-15 01:23:26,False,False,True,False,False,False,False,30,5,71.43
715,24,11,2025-04-15 02:56:26,False,False,False,True,False,False,False,30,5,71.43
666,26,18,2025-04-11 23:11:03,True,False,False,False,False,False,False,44,4,57.14
666,26,18,2025-04-12 00:29:03,True,False,False,False,False,False,False,44,1,14.29
474,29,16,2025-04-20 23:12:27,True,False,False,False,False,False,False,29,1,14.29
474,29,16,2025-04-21 02:02:27,False,True,False,False,False,False,False,29,1,14.29
474,29,16,2025-04-21 03:51:27,False,False,False,False,False,False,True,29,2,28.57
172,34,5,2025-04-18 23:10:53,False,False,True,False,False,False,False,26,2,28.57
172,34,5,2025-04-19 01:56:53,False,False,False,True,False,False,False,26,5,71.43
998,38,13,2025-04-16 23:09:54,False,False,False,False,False,False,True,39,5,71.43
998,38,13,2025-04-16 23:19:54,False,False,False,False,False,False,True,39,4,57.14
304,38,15,2025-04-19 23:10:01,False,False,False,True,False,False,False,40,4,57.14
304,38,15,2025-04-20 00:08:01,False,False,False,False,False,False,True,40,5,71.43
304,38,15,2025-04-20 03:02:01,False,False,False,False,False,False,False,40,0,0.0
304,38,15,2025-04-20 04:15:01,False,False,False,False,False,False,True,40,2,28.57
